X,Y,FID,City,County,Latitude,Location,Longitude,Market_Name,Open_Dates,Open_Hours,State,Weekday
-91.57945,42.04415,107,Marion,LINN,42.04415,2200 31st St,-91.57945,Madison County Farmers Market,05/05/2018 - 09/29/2018,08:00 AM - 11:30 AM,IA,Saturday
-93.622475,42.049725,108,Ames,STORY,42.049725,2801 Grand Ave,-93.622475,Manchester Farmers Market,05/05/2018 - 10/27/2018,08:00 AM - 12:30 PM,IA,Saturday
-93.622475,42.049725,109,Ames,STORY,42.049725,2801 Grand Ave,-93.622475,Manson Farmers Market,05/09/2018 - 10/31/2018,03:00 PM - 06:00 PM,IA,Wednesday
-92.909712,42.050431,110,Marshalltown,MARSHALL,42.050431,108 N 2nd Ave,-92.909712,Maquoketa Farmers Market,05/12/2018 - 10/27/2018,08:00 AM - 11:30 AM,IA,Saturday
-94.871971,42.065651,111,Carroll,CARROLL,42.065651,407 West 5th St,-94.871971,Marion Farmers Market - Saturdays,06/09/2018 - 09/22/2018,08:30 AM - 11:30 AM,IA,Saturday
-94.871971,42.065651,112,Carroll,CARROLL,42.065651,407 West 5th St,-94.871971,Market On Main,06/06/2018 - 09/26/2018,03:30 PM - 05:30 PM,IA,Wednesday
-90.651133,42.069146,113,Maquoketa,JACKSON,42.069146,1215 E Platt St,-90.651133,Marketplace at the Mall,05/15/2018 - 10/20/2018,04:00 PM - 06:30 PM,IA,Tuesday
-91.27948,42.108307,114,Anamosa,JONES,42.108307,600 E main St,-91.27948,Monroe County Farmers Market,06/09/2018 - 10/06/2018,08:00 AM - 12:00 PM,IA,Saturday
-91.27948,42.108307,115,Anamosa,JONES,42.108307,600 E Main St,-91.27948,Monticello Farmers Market - Saturdays,06/06/2018 - 10/03/2018,03:00 PM - 06:00 PM,IA,Wednesday
-92.022942,42.165253,116,Vinton,BENTON,42.165253,612 2nd Ave,-92.022942,Monticello Farmers Market - Wednesdays,06/07/2018 - 09/27/2018,05:00 PM - 07:00 PM,IA,Thursday
-91.87355,42.22398,117,Urbana,BENTON,42.22398,204 W Wood St - American Legion Pavilion,-91.87355,"Montrose Riverfront, Inc's. Farmers Market",05/26/2018 - 10/27/2018,09:00 AM - 11:00 AM,IA,Saturday
-91.1868006,42.2372104,118,Monticello,JONES,42.2372104,Willow Shelter - E.Oak Street,-91.1868006,Mt Pleasant Farmers Market - Saturdays,05/12/2018 - 10/13/2018,08:00 AM - 11:00 AM,IA,Saturday
-91.1868006,42.2372104,119,Monticello,JONES,42.2372104,Willow Shelter - E. Oak Street,-91.1868006,Mt. Vernon Farmers Market,05/16/2018 - 10/10/2018,03:00 PM - 05:30 PM,IA,Wednesday
-94.733192,42.267889,120,Lake City,CALHOUN,42.267889,111 E Washington,-94.733192,Muscatine Area Farmers Market - Saturdays,06/05/2018 - 09/11/2018,04:00 PM - 06:00 PM,IA,Tuesday
